H G 65.7124717
H G 65.7589116
H G 65.8053515
H G 65.8517914
H G 65.8982313
H G 65.9446712
H G 65.9911111
H G 66.0375510
H G 66.0839909
H G 66.1304308
H G 66.1768707
H G 66.2233107
H G 66.2697506
H G 66.3161905
H G 66.3626304
H G 66.4090703
H G 66.4555102
H G 66.5019501
H G 66.5483900
H G 66.5948299
H G 66.6412698
H G 66.6877098
H G 66.7341497
H G 66.7805896
H G 66.8270295
H G 66.8734694
H G 66.9199093
H G 66.9663492
H G 67.0127891
H G 67.0592290
H G 67.1056689
H G 67.1521088
H G 67.1985488
H G 67.2449887
H G 67.2914286
H G 67.3378685
H G 67.3843084
H G 67.4307483
H G 67.4771882
H G 67.5236281
F F 67.5700680
F F 67.6165079
M Cm 67.6629478
M Cm 67.7093878
M Cm 67.7558277
M Cm 67.8022676
M Cm 67.8487075
M Cm 67.8951474
M Cm 67.9415873
M Cm 67.9880272
M Cm 68.0344671
M Cm 68.0809070
M Cm 68.1273469
M Cm 68.1737868
M Cm 68.2202268
M Cm 68.2666667
M Cm 68.3131066
M Cm 68.3595465
M Cm 68.4059864
M Cm 68.4524263
M Cm 68.4988662
M Cm 68.5453061
M Cm 68.5917460
M Cm 68.6381859
M Cm 68.6846259
M Cm 68.7310658
M Cm 68.7775057
M Cm 68.8239456
M Cm 68.8703855
M Cm 68.9168254
M Cm 68.9632653
M Cm 69.0097052
M Cm 69.0561451
M Cm 69.1025850
M Cm 69.1490249
M Cm 69.1954649
M Cm 69.2419048
M Cm 69.2883447
M Cm 69.3347846
M Cm 69.3812245
M Cm 69.4276644
M Cm 69.4741043
M Cm 69.5205442
M Cm 69.5669841
M Cm 69.6134240
M Cm 69.6598639
M Cm 69.7063039
M Cm 69.7527438
M Cm 69.7991837
M Cm 69.8456236
M Cm 69.8920635
M Cm 69.9385034
M Cm 69.9849433
M Cm 70.0313832
M Cm 70.0778231
M Cm 70.1242630
M Cm 70.1707029
M Cm 70.2171429
M Cm 70.2635828
M Cm 70.3100227
M Cm 70.3564626
M Cm 70.4029025
M Cm 70.4493424
M Cm 70.4957823
M Cm 70.5422222
M Cm 70.5886621
M Cm 70.6351020
M Cm 70.6815420
M Cm 70.7279819
M Cm 70.7744218
M Cm 70.8208617
M Cm 70.8673016
M Cm 70.9137415
M Cm 70.9601814
M Cm 71.0066213
M Cm 71.0530612
M Cm 71.0995011
M Cm 71.1459410
M Cm 71.1923810
M Cm 71.2388209
M Cm 71.2852608
M Cm 71.3317007
M Cm 71.3781406
M Cm 71.4245805
M Cm 71.4710204
M Cm 71.5174603
M Cm 71.5639002
M Cm 71.6103401
M Cm 71.6567800
M Cm 71.7032200
M Cm 71.7496599
M Cm 71.7960998
M Cm 71.8425397
M Cm 71.8889796
M Cm 71.9354195
M Cm 71.9818594
M Cm 72.0282993
M Cm 72.0747392
M Cm 72.1211791
M Cm 72.1676190
M Cm 72.2140590
M Cm 72.2604989
M Cm 72.3069388
M Cm 72.3533787
M Cm 72.3998186
M Cm 72.4462585
M Cm 72.4926984
M Cm 72.5391383
